edgeID,group0,group1,group2
18,0,5,5
24,22,12,4
27,7,9,4
30,0,5,4
31,0,5,5
32,0,2,1
33,1,1,1
36,1,0,3
38,0,1,0
45,2,0,1
48,0,1,0
49,0,0,1
50,0,1,1
54,0,0,0
55,0,0,0
58,2,0,0
72,12,5,6
73,12,6,10
88,6,4,3
92,2,0,0
93,1,0,0
94,1,0,0
95,0,3,1
98,0,2,1
106,4,0,0
110,4,1,0
117,0,2,0
118,1,2,0
119,1,2,0
121,1,1,3
138,0,2,0
149,1,3,3
153,0,1,3
154,0,4,2
157,1,1,0
158,1,1,0
159,0,0,0
163,6,2,4
164,7,4,4
166,1,1,2
167,4,5,2
168,3,6,0
169,10,10,4
170,11,10,4
176,4,9,5
177,0,6,3
178,4,3,1
179,8,3,0
184,4,8,6
194,6,0,2
195,5,0,2
201,6,9,6
204,1,2,2
205,12,9,8
216,2,3,1
221,1,6,3
244,5,4,2
247,1,1,0
248,2,0,0
249,2,0,0
250,0,0,0
258,0,0,0
262,2,4,2
265,0,1,0
268,1,0,0
280,5,4,1
282,8,5,3
295,0,2,0
296,1,3,0
297,1,2,0
302,0,0,0
305,2,1,1
310,0,1,0
312,1,0,0
318,7,4,3
320,4,6,0
321,4,2,3
322,0,1,1
325,0,2,0
329,1,0,0
332,3,3,1
339,2,0,3
340,6,4,1
341,4,3,4
342,1,0,2
344,2,1,0
346,3,5,2
347,1,2,4
350,1,3,0
352,9,12,3
358,0,2,2
361,7,2,3
362,11,10,4
363,7,14,5
365,10,8,3
367,1,5,2
379,17,4,7
380,14,4,9
381,3,0,4
382,1,2,1
394,5,6,4
396,20,10,5
397,15,9,4
398,4,9,3
399,4,9,2
400,4,4,1
412,3,8,0
417,3,3,1
422,11,2,4
424,12,4,5
426,2,9,0
432,6,6,3
438,19,7,4
468,1,5,4
469,0,0,1
470,1,5,3
482,5,4,1
484,0,0,0
485,1,2,1
486,0,1,0
504,1,4,1
508,0,4,1
512,0,0,0
529,0,1,0
530,0,1,0
531,0,0,1
537,0,2,0
540,9,6,4
541,8,6,3
542,2,0,1
559,3,3,2
564,1,1,1
568,2,5,4
577,3,4,1
579,10,8,4
582,0,4,0
594,0,1,0
596,0,1,0
597,1,2,1
600,0,1,0
602,1,5,0
603,1,0,0
604,1,4,0
606,1,0,0
609,0,0,1
611,2,5,1
613,2,4,1
616,1,1,1
617,0,0,0
619,3,4,1
621,2,5,2
623,0,0,0
624,0,0,0
629,4,6,4
630,2,1,1
632,0,0,0
634,5,4,1
635,0,0,0
638,5,4,2
642,2,0,1
649,0,3,1
651,5,6,3
652,6,9,5
653,0,2,4
658,5,8,2
659,0,2,1
666,5,4,3
684,0,0,0
686,0,1,0
697,2,10,6
698,1,8,4
724,4,7,5
725,5,10,5
726,5,0,1
727,3,0,0
728,4,0,1
734,0,3,2
739,1,2,1
740,7,4,3
741,7,3,5
749,1,1,1
752,2,2,2
755,4,7,2
761,1,2,1
762,1,1,1
766,0,0,1
767,1,2,4
768,0,2,4
787,0,1,1
788,0,0,0
808,2,4,1
819,2,2,0
826,7,8,3
829,8,5,2
830,12,11,5
837,0,2,4
843,0,3,0
846,1,7,1
855,11,5,2
862,2,3,1
867,3,0,0
869,2,0,2
877,0,4,6
879,0,2,2
881,1,2,0
883,0,2,2
884,4,2,2
889,8,2,3
893,5,7,4
894,5,7,5
895,1,0,5
896,1,2,1
898,2,5,0
899,2,2,5
906,2,2,2
907,2,2,4
914,4,5,4
922,0,3,1
940,1,1,1
941,5,7,1
947,2,1,3
948,2,1,3
949,0,0,0
950,0,0,0
951,0,0,0
953,0,0,0
954,0,1,0
955,0,1,0
956,1,0,1
957,1,0,0
962,15,10,4
964,3,7,2
965,4,8,4
967,1,1,0
968,0,0,1
969,0,0,0
970,1,0,0
971,1,1,0
973,1,0,0
974,0,0,0
981,1,5,1
983,3,12,1
990,17,7,4
1022,9,10,3
1025,10,12,5
1040,23,10,7
1060,3,4,7
1063,0,4,2
1064,0,6,4
1065,1,3,2
1074,1,4,0
1095,17,17,9
1096,20,18,10
1097,3,1,2
1099,15,20,9
1100,17,19,8
1103,1,1,2
1104,4,1,3
1113,3,0,3
1116,7,6,4
1124,2,2,4
1125,5,8,6
1129,0,0,0
1137,6,1,1
1139,12,15,3
1140,2,5,4
1141,2,5,5
1142,0,0,1
1143,7,8,4
1146,3,0,0
1147,2,0,0
1148,1,0,0
1149,2,2,0
1164,7,9,1
1200,3,4,4
1202,1,2,3
1203,0,2,2
1204,5,2,2
1208,3,2,2
1213,1,1,0
1214,1,0,1
1234,7,6,4
1235,9,9,6
1236,3,3,3
1237,3,5,1
1240,4,2,5
1244,4,5,4
1253,0,2,0
1257,2,7,1
1276,1,3,3
1304,3,5,2
1320,1,6,0
1321,3,2,1
1341,0,1,1
1358,4,5,9
1360,2,3,1
1361,5,8,10
1367,1,4,1
1394,9,5,7
1402,0,2,1
1403,1,6,0
1413,2,4,0
1432,5,6,3
1433,8,9,4
1434,3,6,1
1442,6,12,4
1443,10,17,4
1444,7,14,4
1445,0,3,0
1448,0,0,0
1455,0,5,3
1459,2,2,5
1470,0,0,1
1471,0,0,1
1472,0,0,0
1487,10,3,3
1488,4,1,2
1489,6,2,3
