edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
9,31,16,10,10,3,8,97,90
24,23,5,11,7,2,4,41,83
32,15,6,4,6,1,2,30,31
37,6,7,1,2,0,2,9,16
38,29,16,11,5,4,5,113,48
39,2,0,1,2,1,0,5,14
40,28,16,9,7,5,5,114,44
41,27,16,8,7,3,5,109,44
42,30,19,14,7,4,7,112,68
43,8,6,7,2,2,4,17,36
44,9,8,9,5,2,6,16,38
45,6,5,8,2,2,5,16,37
46,3,3,1,3,0,1,0,1
56,14,8,11,5,1,7,75,39
57,16,11,10,7,1,6,78,40
67,21,9,10,14,2,5,17,44
68,18,3,5,5,1,2,7,27
70,5,4,1,3,0,1,4,1
71,24,13,8,18,2,6,25,47
77,22,13,24,10,11,15,70,61
78,13,10,12,7,5,6,12,44
79,24,15,24,15,10,17,61,80
82,48,37,25,17,11,14,143,145
83,34,39,13,9,8,9,126,96
84,32,40,11,7,5,8,67,93
85,15,7,13,6,7,7,61,37
86,20,18,12,7,2,8,28,54
87,13,13,11,6,2,8,23,51
88,7,5,1,1,0,0,5,3
89,29,31,17,10,3,10,31,97
90,23,27,6,3,2,4,44,60
92,9,4,1,1,0,2,4,19
93,21,7,9,2,3,2,45,21
94,18,10,9,2,3,4,45,32
96,7,4,1,1,0,0,2,18
100,7,6,1,1,0,0,6,18
101,33,34,25,16,11,16,199,85
105,44,35,19,22,11,11,138,112
125,0,0,0,0,0,0,3,1
127,1,2,1,0,0,1,0,4
128,0,2,1,0,0,1,2,4
133,7,3,10,4,3,5,5,29
134,12,6,10,1,3,2,54,14
135,19,9,20,5,7,6,61,47
137,0,0,2,3,1,3,15,8
138,7,3,11,5,0,6,7,36
139,1,7,5,4,2,4,7,21
140,6,9,11,7,1,4,1,50
142,2,1,4,0,0,2,3,5
144,5,3,2,3,1,1,16,10
145,5,7,5,4,1,2,11,21
146,1,3,1,0,1,0,3,0
147,1,4,4,1,0,1,2,13
151,34,19,29,9,13,22,47,146
152,24,17,20,11,13,14,7,128
153,20,16,25,10,10,14,44,90
156,6,3,6,5,0,2,15,30
158,2,2,2,2,0,0,5,9
159,24,21,23,8,10,14,51,102
166,19,17,14,2,1,9,31,51
167,13,18,13,8,4,8,124,59
173,4,5,2,4,2,3,13,14
174,10,8,10,5,5,5,44,29
175,13,11,9,5,1,3,21,46
176,11,12,10,5,1,3,22,50
177,8,9,11,5,5,5,43,31
182,2,2,4,2,1,2,11,13
183,14,12,11,4,2,1,33,29
186,15,12,11,4,2,1,36,30
188,3,0,0,0,0,0,5,3
190,17,15,14,3,4,5,52,39
206,10,9,2,4,1,7,48,29
214,5,3,3,2,2,4,19,17
227,6,3,3,0,1,0,18,13
229,3,1,0,0,0,0,10,4
230,4,1,1,0,0,0,10,6
231,0,0,0,0,0,0,2,0
237,6,2,3,0,0,0,1,8
239,13,1,8,7,0,2,6,20
241,24,19,17,11,4,13,240,82
244,18,4,12,7,0,5,57,56
247,1,2,0,0,0,0,3,4
252,1,2,2,0,0,0,6,1
269,5,3,3,2,1,0,2,8
270,0,0,0,1,0,1,3,0
274,6,7,5,1,1,0,22,8
275,2,1,3,0,0,0,9,6
279,1,1,4,2,0,1,5,8
281,1,0,0,1,1,1,4,0
