edgeID,group1,group2,group3,group0,group4,group5,population,nullGroup
9,5,3,2,3,3,4,20,21
24,4,1,5,1,2,1,12,14
32,7,4,3,1,2,0,16,20
37,5,4,2,1,1,1,21,12
38,4,2,3,1,1,1,14,16
39,0,0,1,0,0,0,1,1
40,4,2,3,1,1,1,12,16
41,3,2,3,0,0,0,9,15
42,4,6,4,2,0,0,12,21
43,1,4,1,2,0,0,5,8
44,2,6,2,2,0,0,12,12
45,1,4,1,1,0,0,5,7
46,1,2,2,1,0,0,8,6
56,2,4,2,1,0,1,14,7
57,1,3,2,1,0,2,8,6
67,3,1,1,2,1,2,11,9
68,3,2,0,2,0,1,6,4
70,1,1,3,1,0,0,9,6
71,4,2,2,3,1,2,16,13
77,5,1,10,4,1,2,25,20
78,0,1,3,0,0,3,11,7
79,5,2,9,4,1,3,24,23
82,12,10,5,5,4,11,43,45
83,10,7,10,3,2,8,45,35
84,9,7,5,2,1,6,32,28
85,2,4,7,2,0,7,29,19
86,9,7,5,4,1,4,24,23
87,8,5,4,2,1,3,23,18
88,1,2,0,1,0,1,1,5
89,11,9,10,3,2,5,34,35
90,6,6,5,1,1,3,16,21
92,1,4,1,1,0,1,4,8
93,2,0,1,3,0,0,10,11
94,2,4,3,1,0,0,16,15
96,0,1,0,0,0,0,0,0
100,0,1,0,0,0,0,0,0
101,9,7,2,0,0,4,24,23
105,11,8,5,8,2,0,37,39
125,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0
133,3,3,2,0,0,0,9,9
134,3,0,3,0,3,4,9,13
135,6,3,6,0,2,5,19,23
137,0,0,0,2,0,0,2,4
138,3,3,2,3,0,0,10,12
139,0,0,1,1,0,1,6,8
140,3,2,4,3,0,0,11,12
142,1,1,0,1,0,0,8,5
144,1,0,0,0,1,0,6,4
145,2,0,0,2,1,1,6,7
146,0,0,0,0,0,1,3,2
147,1,0,0,1,0,0,2,2
151,5,4,12,5,6,5,29,31
152,3,5,7,7,3,1,32,27
153,4,4,7,8,5,4,26,25
156,1,1,2,0,0,0,4,2
158,1,0,0,0,0,1,1,0
159,7,7,8,8,5,4,30,36
166,6,7,4,1,0,4,17,20
167,6,5,3,1,0,1,11,15
173,1,1,2,0,0,0,5,8
174,4,3,0,3,1,2,10,14
175,7,1,1,4,2,0,15,14
176,5,2,2,4,1,0,19,18
177,2,4,1,3,0,2,12,16
