edgeID,RD,AC,RL,AL,LL,GL
0,0,0,0,0,0,0
1,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
8,0,0,0,0,0,0
11,0,0,0,0,0,0
14,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
59,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
78,0,0,0,0,0,0
90,0,0,0,0,0,0
92,0,0,0,0,0,0
94,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
112,0,0,0,0,0,0
119,0,0,0,0,0,0
121,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
142,0,0,0,1,1,0
143,0,0,1,0,0,0
144,0,0,1,1,1,0
153,0,0,1,0,0,0
154,0,0,0,0,0,0
155,0,0,1,0,0,0
167,0,0,1,0,0,0
168,0,0,0,0,0,0
169,0,0,0,0,0,0
170,0,0,0,0,0,0
172,0,0,0,0,0,0
174,0,0,0,0,0,0
181,0,0,0,0,0,1
182,0,0,0,0,0,1
190,0,0,0,0,0,0
191,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
202,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
211,0,0,0,1,0,1
213,0,0,0,1,0,1
226,0,0,0,1,1,0
227,0,0,0,0,0,0
228,0,0,0,1,1,0
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
243,0,0,0,0,0,0
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0,0
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
264,0,0,0,0,0,0
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,0,0,0,0,0,0
275,0,0,0,0,0,0
276,0,0,0,0,0,0
278,0,0,0,0,0,0
279,0,0,0,0,0,0
282,0,0,0,0,0,0
283,0,0,0,0,0,0
286,0,0,0,0,0,0
289,0,0,0,0,0,0
292,0,0,0,0,0,0
295,0,0,0,0,0,0
330,0,0,0,0,0,0
344,0,0,0,0,0,0
347,0,0,0,0,0,0
349,0,0,0,0,0,0
361,0,0,0,0,0,0
370,0,0,0,0,0,0
373,0,0,0,0,0,0
381,0,0,0,0,0,0
390,0,0,0,1,1,0
393,0,0,0,0,0,0
398,0,0,0,0,0,0
416,0,0,0,0,0,0
423,0,0,0,0,0,0
426,0,0,0,0,0,0
444,0,0,0,0,0,0
450,0,0,0,0,0,0
456,0,0,0,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0,0
463,0,0,0,0,0,0
466,0,0,0,0,0,0
467,0,0,0,0,0,0
469,0,0,0,0,0,0
476,0,0,0,0,0,1
494,0,0,0,0,0,0
502,0,0,0,0,0,0
503,0,0,0,0,0,0
512,0,0,0,0,0,0
513,0,0,0,0,0,0
514,0,0,0,0,0,0
516,0,0,0,0,0,0
528,0,0,0,0,0,0
532,0,0,0,0,0,0
533,0,0,0,0,0,0
534,0,0,0,0,0,0
536,0,0,0,0,0,0
537,0,0,0,0,0,0
550,0,0,0,0,0,0
551,0,0,0,0,0,0
552,0,0,0,0,0,0
553,0,0,0,0,0,0
554,0,0,0,0,0,0
559,0,0,0,0,0,0
572,0,0,0,0,0,0
573,0,0,0,0,0,0
575,0,0,0,0,0,0
576,0,0,0,0,0,0
578,0,0,0,0,0,0
579,0,0,0,0,0,0
580,0,0,0,0,0,0
583,0,0,0,0,0,0
585,0,0,0,0,0,0
588,0,0,0,0,0,0
591,0,0,0,0,0,0
595,0,0,0,0,0,0
607,0,0,0,0,0,0
608,0,0,0,0,0,0
610,0,0,1,0,0,0
611,0,0,1,0,0,0
612,0,0,0,0,0,0
616,0,0,0,0,0,0
617,0,0,0,0,0,0
618,0,0,0,0,0,0
619,0,0,0,0,0,0
620,0,0,0,0,0,0
621,0,0,0,0,0,0
622,0,0,0,0,0,0
624,0,0,0,0,0,0
625,0,0,0,0,0,0
630,0,0,0,0,0,0
631,0,0,1,0,0,0
632,0,0,1,0,0,0
633,0,0,0,0,0,0
634,0,0,0,0,0,0
635,0,0,0,0,0,0
636,0,0,0,0,0,1
639,0,0,0,0,0,0
640,0,0,0,0,0,0
641,0,0,0,0,0,0
643,0,0,0,0,0,0
645,0,0,0,0,0,0
646,0,0,0,0,0,0
648,0,0,0,0,0,0
650,0,0,0,0,0,0
651,0,0,0,0,0,0
653,0,0,0,0,0,0
654,0,0,0,0,0,0
655,0,0,0,0,0,0
658,0,0,0,0,0,0
659,0,0,0,0,0,0
660,0,0,0,0,0,0
661,0,0,0,0,0,0
662,0,0,0,0,0,0
674,0,0,0,0,0,0
678,0,0,0,0,0,0
686,0,0,0,0,0,0
688,0,0,0,0,0,0
691,0,0,0,0,0,0
720,0,0,0,0,0,0
