RD,AC,RL,AL,LL,GL,edgeID
0,1,0,2,0,5,0
2,0,0,0,0,0,1
2,1,1,0,3,0,3
2,1,1,0,3,0,4
0,0,0,0,0,0,5
0,0,0,0,0,0,8
2,1,0,2,0,5,11
1,0,0,0,0,0,14
0,0,0,0,0,0,20
0,0,0,0,0,0,21
0,0,0,0,0,0,22
2,0,1,0,2,0,24
3,3,1,2,3,0,25
2,0,2,0,2,0,26
3,3,2,2,3,0,27
10,3,5,2,6,1,30
10,3,6,1,7,1,31
0,0,1,1,3,2,32
1,0,0,0,0,0,33
1,1,1,0,2,0,34
1,0,0,1,3,1,35
0,0,3,0,0,0,37
0,0,3,0,0,0,38
0,0,0,0,0,0,41
0,1,0,0,0,0,42
0,1,0,0,0,0,43
6,0,3,0,3,0,55
1,0,0,0,1,0,56
5,0,3,0,2,0,57
0,0,0,0,0,0,59
0,0,1,0,0,0,65
0,0,1,0,0,1,66
0,0,2,0,0,1,67
0,0,4,0,0,0,68
0,0,1,0,0,0,69
0,0,5,0,0,0,70
0,0,1,0,0,0,74
0,0,4,0,0,0,75
0,0,5,0,0,1,78
1,0,4,2,2,0,90
0,0,0,0,0,0,92
0,0,1,0,0,0,94
1,0,1,0,1,0,107
0,1,0,0,0,6,108
0,0,0,0,0,0,112
0,0,0,0,0,0,119
0,0,0,0,0,0,121
1,0,1,0,1,0,123
1,0,3,0,2,1,124
0,0,0,0,0,0,129
0,0,0,0,0,0,130
1,0,0,0,0,0,135
1,0,0,0,0,0,136
6,8,4,16,8,1,142
1,0,1,0,0,0,143
7,8,5,16,8,1,144
1,0,1,0,0,0,153
0,0,0,0,0,0,154
1,0,1,0,0,0,155
1,0,2,1,0,0,167
0,0,1,1,0,0,168
1,0,0,0,1,0,169
1,0,0,0,1,0,170
0,0,0,0,0,0,172
1,0,0,0,1,0,174
1,0,0,0,1,2,181
0,0,0,0,0,2,182
0,0,0,0,0,0,190
1,0,0,0,1,0,191
1,0,1,0,1,0,195
1,0,1,0,1,0,196
0,0,0,0,0,0,197
0,0,0,0,0,0,198
2,3,6,5,1,0,202
1,1,3,2,6,1,205
1,0,2,0,6,2,206
0,1,1,2,0,1,207
2,1,3,1,2,1,208
1,0,2,0,1,0,209
0,5,1,1,1,9,211
0,5,0,1,0,9,213
0,0,0,0,0,0,226
5,12,2,9,2,0,227
5,12,2,9,2,0,228
0,0,0,0,0,0,239
0,0,0,0,0,0,240
0,0,0,0,0,0,241
0,0,0,0,0,0,243
2,0,2,1,2,0,245
2,0,2,1,2,1,246
0,0,0,0,0,1,247
0,0,0,0,0,0,251
0,0,3,1,0,0,252
0,0,3,1,0,0,253
2,0,4,1,4,0,264
1,0,1,0,1,2,268
1,0,2,0,1,2,269
0,0,1,0,0,0,270
0,0,0,0,0,0,275
0,0,0,0,0,0,276
0,0,2,0,0,0,278
0,0,2,0,0,0,279
3,3,1,1,1,1,282
0,0,0,0,0,0,283
0,0,2,0,0,0,286
3,1,2,1,2,2,289
1,0,0,0,0,0,292
0,1,0,0,0,0,295
3,2,0,2,0,0,330
0,0,0,0,0,0,344
0,0,0,0,0,1,347
1,0,2,0,1,0,349
1,2,2,0,3,1,361
0,0,1,0,0,2,370
1,2,3,0,3,4,373
0,0,0,0,1,0,381
6,8,6,17,7,4,390
3,2,4,0,2,12,393
2,0,7,2,4,0,398
4,1,8,2,4,2,416
0,0,2,0,1,0,423
