edgeID,AC,RB,BB,RBB
0,9,2,20,11
5592,1,2,2,4
5600,2,1,14,5
27379,61,24,36,27
29882,1,1,0,3
30118,0,0,1,0
39190,3,7,1,6
5621,0,0,0,0
5615,1,0,1,2
57633,1,1,1,1
57532,3,4,6,7
5599,1,0,1,2
5568,14,18,13,21
30046,0,1,0,0
5541,1,1,1,1
5601,5,3,13,5
5540,1,1,1,1
5458,2,1,2,1
5942,25,36,40,27
59445,3,3,0,2
5933,0,0,0,0
28830,2,3,1,2
5425,0,0,0,0
5424,0,0,0,1
5423,0,0,0,1
5941,25,36,40,27
5411,3,2,2,2
5932,0,0,0,0
39458,1,2,0,0
30084,1,1,0,3
30119,1,1,1,1
30120,1,1,0,1
57360,1,2,5,5
29802,2,2,6,2
5528,0,0,0,0
58229,7,7,18,22
30085,0,0,0,0
56444,1,0,0,0
57197,0,0,6,4
56445,0,0,1,0
56509,3,4,7,5
56511,0,0,1,2
30263,1,0,1,1
14279,3,4,6,1
30262,1,0,1,1
57198,3,4,11,7
30122,1,1,2,4
57199,3,4,7,5
14469,1,0,0,7
57321,1,1,1,1
14470,2,3,12,5
30129,0,1,9,4
57357,35,31,42,52
59453,0,0,1,0
59424,13,12,9,3
5931,0,0,0,0
59325,39,10,7,5
5884,16,17,14,14
59363,18,42,27,29
5315,1,1,1,1
5314,51,12,12,6
5313,51,12,10,6
14918,71,2,84,6
59327,15,7,3,5
58232,1,2,26,21
59365,4,1,0,1
57359,0,0,1,0
59367,5,0,0,0
59368,0,0,1,0
59369,4,1,0,1
28806,0,0,5,1
30125,9,11,11,11
30123,0,0,0,0
52489,1,2,10,4
28673,0,0,2,1
52491,1,0,15,2
28668,0,4,4,3
28747,1,1,7,7
28745,3,2,6,9
60067,1,2,0,1
28666,1,1,1,1
60118,1,2,6,1
14847,0,1,0,1
4954,16,18,17,21
14637,13,12,8,3
28665,0,2,3,8
28662,2,3,4,3
59262,3,2,2,2
29496,9,12,9,16
55645,49,23,38,23
14836,0,1,0,1
29337,38,31,49,48
58554,2,1,1,0
29477,0,0,1,0
29476,9,12,5,15
5262,3,4,5,6
14668,0,0,0,0
14669,6,12,6,20
29487,10,13,4,17
14672,1,1,1,1
14673,1,1,1,1
29394,4,7,7,4
14684,0,0,0,0
29385,0,0,0,0
29384,0,0,1,0
29383,0,0,1,0
29485,0,0,8,5
14674,0,0,0,0
58866,2,1,1,1
16656,2,1,1,1
32064,0,0,6,2
13380,0,0,1,2
58881,0,0,0,0
58985,0,0,0,0
14838,0,1,0,1
14193,0,0,0,0
32063,0,0,0,0
14188,0,0,2,0
13381,0,0,1,0
32065,2,2,8,2
13400,1,1,1,3
13402,0,0,0,0
52456,17,24,4,22
52457,39,2,39,3
30731,0,0,4,0
31838,0,0,1,0
31658,0,0,0,0
13379,1,1,1,3
16646,1,1,11,4
58867,26,8,28,22
31836,1,1,9,5
53085,0,0,0,0
53086,1,1,1,1
53087,0,0,0,0
31827,7,7,23,14
53131,13,13,20,19
53150,4,5,6,7
31826,0,0,1,0
31825,7,7,22,14
13504,1,1,1,1
31732,6,8,16,11
31709,2,3,4,2
31675,0,0,0,0
28805,1,1,8,1
58561,1,0,14,2
28769,1,0,0,1
13331,1,2,10,4
32544,0,0,0,0
32485,2,1,0,0
32522,2,1,2,1
6925,25,36,42,27
50975,6,6,8,7
51031,0,0,0,0
6830,15,32,30,26
51032,0,0,0,0
6943,1,3,11,8
6933,2,1,8,5
6918,0,0,0,0
32523,3,2,2,1
6915,2,1,1,3
32728,0,11,0,4
51033,0,2,0,0
51083,6,9,14,10
31043,0,0,4,2
31046,17,18,15,15
50970,0,0,0,0
54111,0,0,1,0
51799,0,0,1,2
6804,2,0,0,0
6803,0,3,1,4
32256,42,15,9,7
28661,1,2,6,5
32225,47,19,28,17
13329,27,26,84,47
13526,0,0,0,0
6564,16,16,16,15
31180,0,1,0,0
31145,9,9,15,26
31047,17,18,19,32
14032,0,0,11,4
32727,0,6,0,2
51357,0,0,1,0
30767,0,0,1,0
6080,0,0,0,0
30762,0,0,1,0
30742,0,1,0,0
6084,1,31,1,23
6082,2,32,2,24
6081,6,14,30,23
6079,5,13,29,22
30763,2,1,4,2
54453,0,0,2,0
55336,81,107,59,43
55354,17,18,7,21
55402,13,17,16,20
55426,2,1,1,1
55427,22,21,31,23
30734,14,14,8,3
54452,11,12,9,4
30764,1,2,4,3
6393,0,0,4,1
30765,1,1,0,0
31500,1,0,0,1
31499,0,0,0,0
54325,0,0,0,0
6552,27,38,45,26
13687,11,8,10,8
13761,1,1,1,1
13762,0,0,1,2
31498,0,0,0,0
6389,32,37,48,32
31654,7,7,18,10
31497,0,0,0,0
31496,0,0,0,0
31490,0,0,1,0
31474,0,0,0,1
50969,0,0,0,0
58865,26,9,29,23
13328,26,24,74,45
66263,1,0,1,1
26729,0,0,0,0
26681,0,0,0,0
15938,0,0,36,4
6284,1,1,1,1
54213,1,2,3,3
6315,1,3,4,3
66927,0,0,2,1
6314,3,5,10,5
54215,1,2,3,3
6285,1,1,1,1
6283,1,1,1,1
15923,2,4,12,12
31190,0,0,0,0
28659,1,2,3,2
6313,1,1,7,3
4926,0,0,0,0
67422,60,28,43,30
67417,0,0,0,0
54152,1,0,0,0
54153,1,1,2,3
3447,8,12,7,6
67171,0,0,1,0
67260,11,12,9,3
67279,60,24,44,31
67292,0,0,0,0
67287,0,1,0,1
67288,1,0,3,2
26566,3,4,2,7
67368,0,0,0,0
67369,1,1,1,1
67387,17,18,29,35
26562,1,1,0,2
67443,10,12,8,5
4908,1,2,1,0
26724,15,16,36,36
16031,10,16,16,19
66237,0,0,0,0
26734,0,0,0,1
67657,13,16,12,20
26735,2,0,1,0
15826,3,4,1,5
66233,2,2,1,2
66238,0,0,1,0
3307,1,1,0,0
66285,0,3,0,3
66248,0,0,0,0
66249,0,0,0,0
66253,1,0,1,1
66255,5,5,7,5
66244,1,0,1,0
66246,0,0,0,0
3258,1,1,1,1
66629,0,0,1,2
54206,13,12,8,3
16067,25,36,40,27
66631,0,0,1,2
66287,2,2,0,3
66397,0,17,0,17
66431,14,56,37,57
66470,13,8,29,20
66497,6,6,16,12
66558,0,0,4,0
66273,0,0,1,0
26443,1,1,7,2
66690,6,8,21,12
15813,1,1,0,2
26736,1,1,2,0
66231,0,0,0,0
3261,1,1,0,0
66257,0,0,0,0
66243,1,0,1,0
66259,1,0,1,0
2594,2,0,1,3
16899,0,2,2,7
16698,2,2,9,4
25877,4,6,6,2
16663,1,1,2,0
2980,32,11,4,2
2961,26,22,18,26
26039,2,4,5,8
16668,0,0,62,45
25876,0,0,6,1
70796,0,0,0,0
70798,2,3,7,6
25875,5,7,7,4
25727,13,16,30,33
25696,2,2,1,1
2593,3,2,2,6
25544,1,1,1,2
28072,0,1,1,0
16554,6,10,7,6
16555,1,1,1,1
25287,72,7,81,21
16924,2,4,3,1
16925,1,3,3,0
3034,0,0,2,0
3259,1,1,0,0
70797,2,3,7,6
68309,5,6,6,5
3257,0,0,5,2
3256,1,1,6,3
3219,0,0,4,1
3218,0,0,2,4
3217,0,0,6,5
26181,5,4,8,4
16645,2,2,17,6
16699,1,1,9,3
16492,0,0,3,0
68540,1,1,1,1
37694,1,1,1,0
16550,1,1,0,0
16551,3,3,3,0
16552,5,5,4,1
68598,0,0,0,0
68548,0,0,1,0
68549,0,0,0,0
68605,4,3,4,5
4600,1,1,1,1
68966,0,0,2,0
16553,6,10,7,6
69035,0,0,1,0
69195,87,41,111,56
68906,0,0,0,0
68965,0,0,2,0
28099,0,0,0,0
28104,0,1,5,4
28070,0,2,1,4
27626,0,4,7,3
4495,1,1,0,2
4599,5,10,10,18
4598,6,11,11,19
62107,2,2,2,1
28234,1,1,2,1
28121,0,0,1,0
28120,0,1,3,1
66227,12,9,14,8
68547,1,1,0,1
28103,1,0,4,3
63074,25,7,27,23
63089,0,0,0,0
63092,1,3,3,0
28100,34,30,40,51
68627,4,3,3,5
66229,12,9,14,8
32781,1,1,0,1
65647,3,7,1,4
3849,0,4,0,7
63390,4,3,3,2
63438,4,0,0,0
4435,7,9,11,1
4434,7,9,7,3
63522,1,1,1,1
60964,0,0,0,1
28303,16,15,7,20
28380,0,0,4,0
60776,0,1,1,0
4885,0,0,6,5
60850,0,0,0,0
4849,0,0,0,0
63526,0,0,0,1
61892,0,0,1,0
4848,0,1,3,3
60997,0,1,1,0
61000,1,2,2,1
61119,12,6,26,21
61090,1,2,6,3
28552,45,19,29,17
28551,45,19,32,17
63523,0,0,0,1
4693,17,36,30,28
4847,0,1,3,3
61524,1,0,5,8
15156,0,1,0,0
15157,0,0,1,1
4748,9,2,17,10
60995,1,0,0,1
61004,0,1,1,0
15097,0,1,0,0
15149,0,0,1,0
28393,0,0,2,0
28067,1,2,2,4
15231,1,1,1,0
65635,0,1,1,3
66228,1,0,1,0
63558,15,8,5,9
27782,0,0,3,4
15697,0,0,0,0
15731,1,0,1,0
15756,1,2,3,2
3879,8,9,30,31
3872,0,4,0,0
65690,16,17,65,38
3932,9,10,14,6
3931,0,0,5,1
3927,9,11,17,8
3926,10,12,17,8
65942,0,1,0,3
27768,0,1,0,0
61877,2,1,5,9
63222,7,12,13,22
65643,5,10,3,7
3859,0,29,0,21
3858,0,28,0,18
3857,0,1,0,3
3856,0,2,0,3
3853,0,1,0,1
3850,0,3,0,6
3925,1,1,0,0
65995,1,1,6,3
66222,12,11,15,8
66226,2,2,1,2
65121,0,0,0,0
63560,15,8,5,9
65119,0,0,1,0
15662,18,19,21,32
15229,0,3,0,2
63778,0,0,0,0
50708,0,0,0,1
27625,60,22,42,24
15659,0,0,1,3
27383,0,0,2,1
27378,1,0,2,0
27445,0,0,0,1
27444,2,2,4,6
27443,1,1,3,4
42281,5,5,7,6
27385,59,24,34,26
65018,0,0,1,1
64333,1,1,5,3
64592,0,0,29,33
64651,1,1,2,0
64799,0,0,1,1
64877,3,3,10,6
65029,11,9,13,8
27373,64,24,38,29
11144,2,2,2,2
3027,20,26,33,24
11146,0,2,0,2
15660,1,1,3,3
15661,17,18,19,32
4100,10,12,9,5
50807,5,2,6,5
50710,0,0,1,0
42285,6,6,8,7
42283,5,5,7,6
37693,1,1,11,5
37670,0,0,2,0
37641,3,3,1,2
42276,1,0,1,0
42279,5,5,7,6
42280,1,1,0,2
16657,1,1,2,1
42286,6,7,7,7
42287,0,0,0,0
9420,0,0,0,1
42291,0,0,0,0
42295,0,0,0,0
42298,4,6,6,7
42299,3,4,2,7
9381,2,1,4,8
9380,9,7,12,12
42303,6,11,5,19
42304,3,3,2,3
42307,1,0,2,2
42308,7,6,6,7
9500,0,0,38,39
42309,6,6,4,5
9501,0,0,72,55
42289,6,7,7,7
37802,15,11,14,20
42290,13,8,31,20
41456,3,4,6,2
38467,2,1,2,1
41455,1,3,3,0
38384,2,1,2,4
38383,22,17,17,11
38198,27,38,41,28
11060,5,11,11,19
11061,0,0,4,0
11116,0,2,0,0
11117,1,2,3,2
11062,5,11,7,19
11118,2,5,2,1
9703,15,27,29,23
9701,15,27,29,23
11135,2,5,3,4
9594,58,26,43,29
11145,2,4,2,4
11174,0,0,0,0
42382,0,0,0,0
38468,2,1,2,1
42347,0,0,0,0
37719,34,30,42,51
11185,0,0,2,0
11189,0,0,0,0
37808,1,1,7,5
37807,1,1,2,3
37806,0,0,5,2
11533,0,3,1,2
36897,0,0,1,1
11532,0,3,2,1
37345,0,0,0,0
36950,0,0,0,0
36949,0,1,0,0
36948,0,1,0,0
36940,5,6,15,8
36902,16,19,34,38
42930,0,1,1,0
36952,0,0,0,0
36939,5,6,16,7
11563,0,0,7,1
11534,0,0,1,1
36887,0,0,1,1
36886,1,1,2,2
36885,3,4,5,5
36883,11,11,5,8
36882,12,11,5,8
36881,1,0,0,0
8955,0,0,1,0
8954,0,0,1,0
8940,17,14,18,11
8939,1,1,8,4
8938,18,16,27,16
8932,0,0,4,3
42929,0,0,0,0
42310,21,20,11,16
30738,1,1,0,1
55429,0,0,4,2
15657,1,1,2,4
42345,0,0,0,0
36967,3,1,10,2
37344,0,0,1,0
37341,10,12,8,5
42332,5,7,7,5
42341,37,33,50,51
42390,0,0,0,0
42385,1,1,1,1
42387,1,1,1,1
42357,0,0,0,0
42362,0,0,0,0
42365,0,0,0,0
42366,0,0,0,0
42376,0,1,0,1
42383,1,1,1,1
10420,2,4,12,3
36959,0,1,0,0
37346,1,1,0,1
42346,0,0,0,0
42396,1,1,1,1
42405,0,0,1,0
42413,7,7,21,15
37323,85,35,108,48
37079,8,8,3,5
37006,0,0,2,6
37004,4,3,8,4
36990,4,2,7,8
36966,1,0,1,1
11569,12,12,22,16
38469,0,0,0,0
38480,4,4,6,4
39208,7,6,16,20
39862,9,12,4,17
27551,1,2,1,0
39863,2,2,1,1
15658,0,0,0,0
39188,0,1,0,5
40045,0,1,6,4
39911,1,1,1,2
39912,1,2,3,3
39919,10,7,7,8
40042,1,1,1,1
40043,1,1,2,1
38983,0,0,32,13
38987,0,0,29,20
39042,3,2,2,2
40132,13,54,35,54
40407,6,13,28,21
40409,0,1,0,2
40411,0,0,0,3
40419,1,29,1,20
38988,0,0,29,31
40131,7,40,5,31
39515,6,7,1,6
39534,0,0,0,0
10153,0,0,10,11
39325,0,0,2,6
39753,3,2,4,4
39435,4,4,5,5
39408,21,21,29,23
10154,0,0,12,14
39324,0,2,0,1
39502,18,38,29,27
39506,0,0,0,0
39511,0,0,0,0
39513,0,0,0,1
10625,0,0,0,2
39514,5,6,0,4
39503,18,37,30,28
39504,0,0,0,0
39535,5,6,0,4
39537,0,0,0,0
39551,0,0,0,0
39563,1,1,1,1
39568,0,0,0,0
39571,3,3,7,4
39573,3,3,7,4
39583,0,0,1,0
39407,20,22,30,24
39678,0,0,0,0
39679,2,1,1,1
39372,1,0,5,4
38479,0,0,1,0
38886,13,19,17,21
10138,2,2,9,2
9934,8,3,17,14
39550,0,0,0,1
38520,0,0,0,0
39562,0,0,0,0
38519,0,0,3,0
38518,0,0,3,0
9918,0,0,0,0
38515,1,1,6,2
9896,1,0,0,0
9895,0,1,0,1
9894,1,1,0,1
9890,0,0,0,0
41328,1,1,2,3
41330,0,0,0,1
41325,0,0,1,3
41398,7,6,4,6
41399,1,0,10,7
41403,32,25,35,37
41405,25,9,28,21
38509,3,3,0,2
38507,0,0,1,0
47376,20,22,29,24
47520,1,1,0,1
46921,14,14,8,3
40907,38,34,50,53
40910,2,0,0,1
38885,5,10,12,21
38686,14,25,24,15
41407,1,0,3,2
38501,1,2,3,4
38481,4,4,7,4
41212,1,1,1,0
38521,1,3,0,0
40885,28,27,43,42
38829,6,13,6,11
40864,0,0,2,1
40866,5,4,14,6
40883,20,21,28,39
40884,41,50,20,23
40886,7,7,16,11
10137,34,32,44,53
38503,1,1,0,0
10860,1,4,6,4
38502,2,3,1,2
10023,1,1,0,0
10021,0,0,0,0
10019,0,0,0,0
10008,0,0,20,25
10007,0,0,26,17
16926,1,1,2,1
38522,1,3,0,0
38775,6,6,16,10
41168,0,0,0,1
41181,30,22,36,36
38710,1,2,3,6
9966,41,52,19,22
41211,0,0,0,0
10857,1,1,2,6
11570,0,0,2,0
11572,10,11,19,17
34786,0,0,3,0
47931,17,37,27,26
47932,0,0,0,0
34784,40,51,22,23
34736,10,12,7,5
34732,0,0,0,0
34726,0,2,0,3
34725,10,12,7,5
34724,10,12,7,4
48130,0,0,0,0
48156,6,5,17,10
48185,0,2,0,1
7621,1,1,0,1
7620,0,0,1,0
47892,17,37,30,29
7615,0,0,0,0
47930,0,0,1,0
7613,0,0,0,0
48186,0,2,0,1
7614,0,0,0,0
48187,0,0,0,0
48191,0,1,0,0
48193,0,1,0,1
48199,0,0,0,0
7584,0,0,2,0
7582,0,0,2,0
47801,0,0,0,1
47891,17,37,28,29
47796,1,1,1,0
47315,0,0,0,0
47373,2,1,0,3
47374,2,1,0,1
47375,21,23,30,25
38506,0,0,3,0
47518,5,1,3,2
48722,86,36,109,49
11573,0,2,2,1
48716,1,5,2,7
47568,3,3,4,3
47570,22,22,29,26
47572,20,23,29,27
47587,0,0,1,0
47627,3,2,4,3
34795,1,4,6,3
47669,0,1,1,1
34794,0,0,5,5
47696,17,36,30,29
47697,9,15,9,23
7728,0,0,0,0
7727,1,1,1,1
7726,1,1,1,1
47751,0,0,0,0
7100,2,4,18,8
7098,1,0,1,0
47753,1,1,2,1
48215,0,0,0,0
7226,2,2,6,5
49476,4,6,7,4
12861,0,0,0,0
12862,0,0,0,0
47787,1,0,15,3
12863,0,0,0,0
47800,0,0,0,0
33654,0,0,0,0
33381,0,0,0,0
7133,19,16,18,6
12984,14,9,32,21
33374,1,0,1,1
49623,5,5,6,5
7099,3,4,17,8
33541,20,14,15,5
7448,0,0,0,0
33194,0,1,0,1
7446,3,1,4,3
33003,0,1,1,0
32994,0,1,0,0
7020,1,0,0,0
13004,0,0,0,0
34370,6,11,5,19
48288,2,3,2,1
50348,0,1,1,0
7096,3,4,7,10
33895,0,0,0,0
48293,0,1,0,1
8095,1,1,3,1
7008,17,20,81,60
32986,1,0,2,1
17116,1,4,2,5
7303,10,10,72,52
33893,0,0,0,0
33193,0,1,0,1
34369,6,11,6,11
34206,15,37,26,27
34041,0,1,0,0
48543,27,28,28,39
7449,0,0,1,0
7447,0,0,1,0
7521,0,0,1,0
7445,0,0,1,1
7519,0,0,1,0
7444,3,1,3,2
7428,1,1,6,9
7427,1,1,6,2
48659,0,0,0,0
7520,0,0,0,0
47314,1,2,1,0
34207,17,43,26,29
48291,0,0,0,0
48660,0,0,0,0
7863,0,0,34,18
47561,1,2,1,0
49157,1,1,3,5
33894,0,0,0,0
11571,2,3,5,1
47294,1,2,2,2
47292,2,2,1,4
35967,0,0,0,0
43698,0,0,0,0
43699,0,0,0,0
35966,1,0,1,1
43878,1,0,2,0
35959,0,2,2,1
35886,1,2,1,2
43945,0,0,8,9
43946,50,23,40,23
43996,4,4,4,4
44000,0,1,0,1
44002,0,0,0,0
44012,0,0,5,5
44340,0,0,1,0
44366,0,2,0,0
35580,2,2,6,4
