edgeID,AC,RB,BB,RBB
1,0,0,0,0
2,0,0,0,0
3,6,5,3,3
4,6,5,3,3
5,1,0,1,1
7,0,1,0,0
9,1,1,1,3
11,11,15,6,6
12,11,14,6,6
13,0,0,0,0
17,2,3,4,6
41,8,7,5,8
51,4,5,1,6
54,11,12,7,18
67,1,0,2,1
68,1,0,2,1
69,0,0,0,0
71,1,4,1,4
74,3,3,8,7
75,0,0,0,0
76,1,0,1,0
77,0,1,0,1
82,6,2,6,3
118,0,3,0,2
119,1,2,1,1
121,0,0,0,0
124,30,39,73,27
145,7,4,26,27
147,0,0,3,0
173,30,28,14,17
174,32,30,16,19
231,2,1,4,4
232,1,1,2,0
233,1,0,2,4
240,0,1,7,5
242,21,14,17,25
244,0,0,1,0
245,20,13,15,24
271,6,4,5,6
272,6,4,5,6
273,0,0,0,0
282,0,0,0,1
283,5,3,6,6
284,4,8,10,9
286,33,5,35,10
287,32,10,35,9
302,4,5,4,6
305,0,0,2,1
306,2,9,9,12
316,6,3,2,3
317,4,14,19,19
318,0,8,1,4
402,2,2,2,2
417,0,0,0,1
421,1,0,2,1
423,0,1,1,1
447,1,7,0,12
448,0,1,1,1
449,1,8,1,13
475,2,5,2,10
478,0,0,16,6
492,3,0,1,1
493,3,0,1,1
494,0,0,0,0
495,1,0,1,0
496,1,0,2,0
497,0,0,1,0
501,1,1,1,1
502,8,11,5,7
503,9,12,6,8
506,0,0,0,0
508,1,2,1,1
526,0,2,8,7
527,0,1,1,2
530,2,6,8,10
531,1,2,5,4
538,1,1,0,1
570,0,0,0,0
572,0,0,0,0
576,2,3,3,5
596,0,1,1,0
602,0,0,0,0
603,0,1,1,0
606,2,2,3,5
613,0,0,1,1
614,9,9,14,20
615,9,9,15,21
622,4,3,2,3
628,0,0,0,0
630,0,0,0,0
632,0,0,0,0
637,1,1,1,2
640,7,3,6,3
645,11,10,15,10
655,10,8,28,11
662,2,3,16,5
667,0,2,15,3
671,1,0,2,0
686,0,1,2,0
696,6,8,20,16
697,0,0,0,1
698,0,0,0,0
699,0,0,0,1
700,1,7,0,5
702,2,6,1,7
