,onlyDistance,onlyAngular,distanceHeuristic,angularHeuristic,regions,routeMarks,barriers,distantLandmarks,usingElements,noElements,length,combined_length,minimisation_length,preferenceNatural,aversionSevering,knowledge
9,0.562,0.438,0.638,0.362,0.273,0.165,0.529,0.621,0.695,0.305,4347.288658622845,3582.347432924949,1432.9327464456132,0.5,0.75,4.5
10,0.64,0.36,0.548,0.452,0.323,0.328,0.456,0.59,0.612,0.388,4224.4935248434185,3580.185647221966,2216.425307312731,0.75,0.75,4.0
13,0.555,0.445,0.612,0.388,0.371,0.21,0.574,0.711,0.695,0.305,4291.776037594393,4291.7562074808975,2142.341521001562,0.125,0.25,4.75
14,0.696,0.304,0.474,0.526,0.461,0.321,0.32,0.687,0.622,0.378,5005.314403442007,4171.567873076003,2344.755572219743,0.75,1.0,3.5
15,0.492,0.508,0.629,0.371,0.373,0.431,0.378,0.49,0.635,0.365,4339.647081618362,2988.7566677487016,1597.901433381412,0.75,0.75,4.25
17,0.659,0.341,0.625,0.375,0.28,0.254,0.462,0.757,0.637,0.363,4316.349629150401,3919.428304433722,2243.071534925988,0.375,0.5,3.25
19,0.624,0.376,0.562,0.438,0.516,0.155,0.475,0.513,0.745,0.255,4479.9729382881005,4479.953108174605,1770.5011313502819,0.375,0.75,4.75
20,0.596,0.404,0.518,0.482,0.61,0.74,0.102,0.131,0.59,0.41,4670.991289750455,3742.6921006936836,2700.8071599678624,0.375,0.25,4.0
22,0.696,0.304,0.485,0.515,0.458,0.352,0.295,0.719,0.639,0.361,4864.052141195627,4146.069047213898,2344.755572219743,0.5,0.5,4.5
24,0.412,0.588,0.634,0.366,0.368,0.611,0.389,0.22,0.681,0.319,4454.9429261882415,4058.041431585057,2239.9140856731938,0.5,0.5,4.75
29,0.856,0.144,0.53,0.47,0.523,0.428,0.315,0.546,0.596,0.404,4766.405831114197,4048.4227371324682,2622.1060273402627,0.5,1.0,5.0
34,0.844,0.156,0.614,0.386,0.789,0.29,0.271,0.391,0.666,0.334,4722.5548177357405,4141.160094978644,1749.027706965587,0.0,0.5,4.5
38,0.722,0.278,0.584,0.416,0.396,0.214,0.551,0.722,0.672,0.328,5099.916179337937,4984.132912840168,2314.985225032948,0.5,0.25,4.25
39,0.635,0.365,0.521,0.479,0.539,0.465,0.22,0.74,0.486,0.514,4361.713909960315,3697.2820625594186,3942.111844540898,0.75,0.25,3.75
41,0.785,0.215,0.506,0.494,0.698,0.371,0.264,0.58,0.604,0.396,4691.491507183278,4273.72336893884,2805.003034238065,0.625,0.75,4.25
42,0.623,0.377,0.636,0.364,0.308,0.218,0.483,0.628,0.724,0.276,4547.104364904135,3965.689812033543,1608.9139673407794,0.75,0.25,4.75
43,0.658,0.342,0.641,0.359,0.548,0.311,0.45,0.346,0.661,0.339,4781.782845868802,3614.4191048264465,1463.6329362352044,0.5,0.25,3.0
44,0.838,0.162,0.43,0.57,0.481,0.536,0.213,0.489,0.656,0.344,5092.925478914558,4278.255846066935,2123.0229533880924,0.625,0.75,4.75
53,0.585,0.415,0.606,0.394,0.306,0.247,0.537,0.824,0.613,0.387,4094.250384482123,4094.230554368628,2625.234943074322,1.0,1.0,2.5
55,0.569,0.431,0.499,0.501,0.401,0.28,0.443,0.875,0.597,0.403,4612.929776766591,4132.268313771292,2811.9022145478693,0.375,0.5,3.5
56,0.789,0.211,0.667,0.333,0.451,0.28,0.397,0.545,0.613,0.387,4192.721847007822,3611.307294137231,2142.311682842925,0.375,0.25,4.5
57,0.887,0.113,0.544,0.456,0.785,0.318,0.225,0.521,0.577,0.423,4523.368166738889,4126.44684202221,2825.9721598486594,1.0,1.0,3.25
58,0.413,0.587,0.548,0.452,0.205,0.681,0.319,0.268,0.662,0.338,4492.5795533792,3911.1848306221027,1845.7464140201369,0.625,1.0,4.0
60,0.702,0.298,0.605,0.395,0.348,0.336,0.448,0.646,0.628,0.372,4218.576070224531,3821.6547455078526,2231.526474781019,0.75,0.5,4.25
61,0.279,0.721,0.386,0.614,0.406,0.488,0.358,0.489,0.55,0.45,3865.740186353856,3865.740186353856,3305.702896008868,0.625,0.25,5.0
62,0.737,0.263,0.523,0.477,0.277,0.47,0.281,0.693,0.7,0.3,5414.919451155605,4516.236635191685,1908.855189446334,0.5,0.25,3.0
63,0.536,0.464,0.612,0.388,0.44,0.254,0.48,0.669,0.648,0.352,4317.209727449223,3999.6823463480005,2620.215040969887,1.0,0.5,4.5
64,0.622,0.378,0.548,0.452,0.348,0.306,0.478,0.635,0.608,0.392,4191.264442201954,3731.449792734415,2367.68945282518,0.125,0.5,4.25
66,0.64,0.36,0.489,0.511,0.339,0.348,0.375,0.739,0.615,0.385,4719.980251721078,3657.924065968682,2216.425307312731,0.5,0.75,4.0
67,0.72,0.28,0.657,0.343,0.516,0.236,0.465,0.493,0.695,0.305,4357.018417478628,3960.097092761949,1810.6824062826138,0.625,1.0,4.0
69,0.785,0.215,0.51,0.49,0.582,0.43,0.26,0.58,0.656,0.344,4892.7356627622885,4478.941002954587,2430.6131335582313,0.5,0.75,2.25
70,0.532,0.468,0.473,0.527,0.358,0.612,0.3,0.427,0.673,0.327,4946.597258604487,4194.572996112958,1917.2496712187544,0.625,0.5,3.25
76,0.416,0.584,0.439,0.561,0.49,0.667,0.175,0.333,0.644,0.356,4922.730877241775,4575.826410942101,2519.982825560246,1.0,1.0,3.5
78,0.639,0.361,0.526,0.474,0.339,0.497,0.275,0.751,0.595,0.405,4760.6338885878295,4715.69446392133,3149.5133060381045,0.25,0.5,2.0
79,0.696,0.304,0.612,0.388,0.516,0.294,0.49,0.543,0.695,0.305,3770.7254310371172,3770.7056009236226,1621.2909144442874,0.5,0.5,4.5
80,0.527,0.473,0.548,0.452,0.705,0.533,0.239,0.484,0.572,0.428,4517.658602327454,3944.5773829147274,3120.7634776510454,0.375,0.25,1.25
81,0.491,0.509,0.672,0.328,0.406,0.586,0.331,0.294,0.585,0.415,4198.333967217799,3801.4324726146147,2784.856861320309,0.375,0.0,3.75
83,0.838,0.162,0.54,0.46,0.47,0.294,0.418,0.709,0.654,0.346,4728.727023315221,4331.805698598542,2151.765586467187,0.625,1.0,4.0
84,0.653,0.347,0.552,0.448,0.682,0.299,0.377,0.234,0.712,0.288,5137.473185328716,4322.091344336539,1473.955954732258,0.5,1.0,3.25
85,0.672,0.328,0.618,0.382,0.405,0.295,0.489,0.546,0.709,0.291,4393.197558112863,3641.1534655078385,1748.6330527082587,0.75,0.75,3.75
86,0.891,0.109,0.527,0.473,0.753,0.338,0.254,0.546,0.593,0.407,4569.1188967696935,4432.530525545061,2959.7108681968625,0.375,0.25,4.0
87,0.627,0.373,0.566,0.434,0.603,0.725,0.098,0.136,0.628,0.372,4946.314952068578,4135.638627771188,2539.730758374832,0.5,0.5,3.0
91,0.785,0.215,0.528,0.472,0.486,0.512,0.272,0.58,0.616,0.384,4929.042052240963,4160.1246245449165,2657.459295249365,0.5,0.5,3.75
93,0.891,0.109,0.631,0.369,0.529,0.261,0.468,0.503,0.67,0.33,4770.771147620111,4770.751317506616,2334.4636137749294,0.375,0.25,4.75
94,0.624,0.376,0.562,0.438,0.516,0.155,0.475,0.513,0.745,0.255,4479.9729382881005,4479.953108174605,1770.5011313502819,0.625,0.75,4.0
97,0.57,0.43,0.597,0.403,0.297,0.239,0.545,0.653,0.71,0.29,4365.597429907415,3968.6761051907365,1698.128759278873,0.375,0.0,4.25
98,0.795,0.205,0.531,0.469,0.53,0.343,0.255,0.577,0.652,0.348,4706.325915238908,4264.484995969225,2057.610314125877,0.375,0.25,3.25
101,0.737,0.263,0.484,0.516,0.44,0.418,0.247,0.622,0.689,0.311,4979.629171272817,4124.013422308927,1935.8960784061562,0.5,1.0,4.0
